timestamp,req_per_sec,avg_latency_s,cpu_usage_cores,memory_usage_bytes,replica_count,energy_joules
1752411880.272298,159.37,0.0603,0.016,36982784,1,0.0
1752411885.289133,156.33,0.0608,0.016,36982784,1,0.0
1752411890.3058121,153.04,0.0586,0.017,36982784,1,0.0
1752411895.199021,186.21,0.0507,0.014,37167104,1,0.0
1752411900.310969,157.27,0.0618,0.016,37167104,1,0.0
1752411905.293255,164.04,0.0546,0.02,37167104,1,0.0
1752411910.3015535,159.73,0.0596,0.019,37203968,1,0.0
