timestamp,iteration,replicas,test_id,intensity_level,concurrent_users,total_requests,successful_requests,failed_requests,req_per_sec,response_time_avg,response_time_max,response_time_p95,cpu_percent,memory_percent,load_balanced,avg_complexity,max_complexity,test_duration,power_per_container,total_power,rps_per_replica,power_efficiency,scaling_efficiency_vs_baseline,latency_inflation_vs_baseline
1752571502.8374572,1,1,1,1,19,55,55,0,774.8,0.0179,0.0324,0.0254,0.8,26.4,True,79.0,200,0.1,2.77,2.77,774.8,280.19,100.0,1.0
1752571510.9763706,1,1,2,2,26,86,86,0,770.7,0.024,0.0442,0.0363,0.9,26.4,True,87.0,200,0.1,2.77,2.77,770.7,278.46,99.5,1.34
1752571519.1458766,1,1,3,3,57,114,114,0,776.1,0.0312,0.0542,0.0475,0.9,26.4,True,80.0,150,0.1,2.77,2.77,776.1,280.59,100.2,1.75
1752571547.9275854,1,2,4,1,21,66,66,0,590.6,0.0222,0.0475,0.0372,0.4,27.3,False,89.0,200,0.1,2.76,5.52,295.3,106.99,38.1,1.24
1752571556.261749,1,2,5,2,34,196,196,0,632.6,0.0379,0.0806,0.0587,0.5,27.4,False,89.0,250,0.3,2.76,5.52,316.3,114.51,40.8,2.12
